tconst,title,year,runtime_min,genres,imdb_rating,num_votes,imdb_url
tt9319770,4400,2021,42,"Drama,Sci-Fi",3.9,5405,https://www.imdb.com/title/tt9319770/
tt22754212,Citadel: Diana,2024,50,"Action,Drama,Sci-Fi",6.1,5282,https://www.imdb.com/title/tt22754212/
tt20863294,The Backrooms,2022,\N,"Horror,Mystery,Sci-Fi",8.0,5181,https://www.imdb.com/title/tt20863294/
tt1332653,The Day of the Triffids,2009,93,"Action,Horror,Sci-Fi",5.6,5061,https://www.imdb.com/title/tt1332653/
tt26760483,Kübra,2024,45,"Drama,Sci-Fi",6.2,5016,https://www.imdb.com/title/tt26760483/
tt0290966,Jeremiah,2002,45,"Action,Drama,Sci-Fi",7.0,4953,https://www.imdb.com/title/tt0290966/
tt5079788,Class,2016,45,"Drama,Sci-Fi",6.8,4751,https://www.imdb.com/title/tt5079788/
tt5797772,Aftermath,2016,60,"Adventure,Sci-Fi,Thriller",4.9,4657,https://www.imdb.com/title/tt5797772/
tt9460858,The Barrier,2020,50,"Drama,Sci-Fi",6.8,4627,https://www.imdb.com/title/tt9460858/
tt2098308,Nichijou: My Ordinary Life,2011,24,"Animation,Comedy,Sci-Fi",8.3,4619,https://www.imdb.com/title/tt2098308/
tt13464340,Alien Worlds,2020,\N,"Animation,Documentary,Sci-Fi",6.5,4606,https://www.imdb.com/title/tt13464340/
tt2944454,Riley Rewind,2013,70,"Drama,Sci-Fi",6.6,4531,https://www.imdb.com/title/tt2944454/
tt1558128,Todd and the Book of Pure Evil,2010,\N,"Comedy,Horror,Sci-Fi",8.1,4505,https://www.imdb.com/title/tt1558128/
tt0816398,Planetes,2003,25,"Animation,Drama,Sci-Fi",8.1,4499,https://www.imdb.com/title/tt0816398/
tt0297512,The Brak Show,2000,15,"Animation,Comedy,Sci-Fi",7.1,4470,https://www.imdb.com/title/tt0297512/
tt5730690,Kiss Me First,2018,46,"Drama,Mystery,Sci-Fi",6.2,4413,https://www.imdb.com/title/tt5730690/
